,序號,詞語,等別,級別,情境,書面字頻(每百萬字),口語字頻(每百萬字),簡編本系統號,參考注音,參考漢語拼音,definition
7702,7703,嚷,精熟,第6級,,12,0,"[['嚷', ['36294']]]",ㄖㄤˇ,rǎng,"to shout, to bellow, to make a big deal of sth, to make a fuss about sth"
7703,7704,讓步,精熟,第6級,,11,7,"[['讓步', ['36298']]]",ㄖㄤˋ ㄅㄨˋ,ràngbù,"to concede, to give in, to yield, a concession, (linguistics) concessive"
7704,7705,饒,精熟,第6級,,10,3,"[['饒', ['35970']]]",ㄖㄠˊ,ráo,"rich, abundant, exuberant, to add for free, to throw in as bonus, to spare, to forgive, despite, although"
7705,7706,擾亂,精熟,第6級,,8,4,"[['擾亂', ['35978']]]",ㄖㄠˇ ㄌㄨㄢˋ,rǎoluàn,"to disturb, to perturb, to harass"
7706,7707,惹,精熟,第6級,,25,7,"[['惹', ['35911']]]",ㄖㄜˇ,rě,"to provoke, to irritate, to vex, to stir up, to anger, to attract (troubles), to cause (problems)"
7707,7708,熱潮,精熟,第6級,,6,5,"[['熱潮', ['35954']]]",ㄖㄜˋ ㄔㄠˊ,rècháo,"upsurge, popular craze"
7708,7709,熱忱,精熟,第6級,,10,11,"[['熱忱', ['35955']]]",ㄖㄜˋ ㄔㄣˊ,rèchén,"zeal, enthusiasm, ardor, enthusiastic, warmhearted"
7709,7710,熱切,精熟,第6級,,12,2,"[['熱切', ['35943']]]",ㄖㄜˋ ㄑㄧㄝˋ,rèqiè,fervent
7710,7711,熱血,精熟,第6級,,8,7,"[['熱血', ['35947']]]",ㄖㄜˋ ㄒㄧㄝˇ,rèxiě,"hot blood, warm-blooded (animal), endothermic (physiology)"
7711,7712,熱中/熱衷,精熟,第6級,,14,6,"[['熱中', ['35952']], ['熱衷', ['35953']]]",ㄖㄜˋ ㄓㄨㄥ,rèzhōng,"to feel strongly about, to be fond of, obsession, deep commitment"
7712,7713,仁,精熟,第6級,,9,7,"[['仁', ['36200']]]",ㄖㄣˊ,rén,"humane, kernel"
7713,7714,仁慈,精熟,第6級,,12,1,"[['仁慈', ['36213']]]",ㄖㄣˊ ㄘˊ,réncí,"benevolent, charitable, kind, kindly, kindness, merciful"
7714,7715,人次,精熟,第6級,,3,9,"[['人次', ['36174']]]",ㄖㄣˊ ㄘˋ,réncì,"person-times, visits, classifier for number of people participating"
7715,7716,人道,精熟,第6級,,9,37,"[['人道', ['36072']]]",ㄖㄣˊ ㄉㄠˋ,réndào,"human sympathy, humanitarianism, humane, the ""human way"", one of the stages in the cycle of reincarnation (Buddhism), sexual intercourse"
7716,7717,任教,精熟,第6級,,14,6,"[['任教', ['36271']]]",ㄖㄣˋ ㄐㄧㄠˋ,rènjiào,to hold a teaching position
7717,7718,認可,精熟,第6級,,15,5,"[['認可', ['36249']]]",ㄖㄣˋ ㄎㄜˇ,rènkě,"to approve, approval, acknowledgment, OK"
7718,7719,人馬,精熟,第6級,,17,5,"[['人馬', ['36057']]]",ㄖㄣˊ ㄇㄚˇ,rénmǎ,"men and horses, troops, group of people, troop, staff, centaur"
7719,7720,人脈,精熟,第6級,,9,3,"[['人脈', ['36059']]]",ㄖㄣˊ ㄇㄞˋ,rénmài,"contacts, connections, network"
7720,7721,人命,精熟,第6級,,7,4,"[['人命', ['36067']]]",ㄖㄣˊ ㄇㄧㄥˋ,rénmìng,"human life, CL:條|条[tiao2]"
7721,7722,任命,精熟,第6級,,21,5,"[['任命', ['36267']]]",ㄖㄣˋ ㄇㄧㄥˋ,rènmìng,"to appoint, (job) appointment, CL:紙|纸[zhi3]"
7722,7723,任憑,精熟,第6級,,8,2,"[['任憑', ['36265']]]",ㄖㄣˋ ㄆㄧㄥˊ,rènpíng,"no matter what, despite, to allow (sb to act arbitrarily)"
7723,7724,任期,精熟,第6級,,4,9,"[['任期', ['36272']]]",ㄖㄣˋ ㄑㄧˊ,rènqí,"term of office, CL:屆|届[jie4], tenure (entire period in office)"
7724,7725,人情,精熟,第6級,,15,4,"[['人情', ['36119']]]",ㄖㄣˊ ㄑㄧㄥˊ,rénqíng,"human emotions, social relationship, friendship, favor, a good turn"
7725,7726,認清,精熟,第6級,,15,1,"[['認清', ['36251']]]",ㄖㄣˋ ㄑㄧㄥ,rènqīng,"to see clearly, to recognize, to realize"
7726,7727,人群,精熟,第6級,,38,17,"[['人群', ['36127']]]",ㄖㄣˊ ㄑㄩㄣˊ,rénqún,crowd
7727,7728,人身,精熟,第6級,,5,3,"[['人身', ['36157']]]",ㄖㄣˊ ㄕㄣ,rénshēn,"person, personal, human body"
7728,7729,人世,精熟,第6級,,14,7,"[['人世', ['36150']]]",ㄖㄣˊ ㄕˋ,rénshì,"the world, this world, the world of the living"
7729,7730,人手,精熟,第6級,,7,8,"[['人手', ['36154']]]",ㄖㄣˊ ㄕㄡˇ,rénshǒu,"manpower, staff, human hand"
7730,7731,認輸,精熟,第6級,,4,2,"[['認輸', ['36256']]]",ㄖㄣˋ ㄕㄨ,rènshū,"to concede, to admit defeat"
7731,7732,忍痛,精熟,第6級,,3,2,"[['忍痛', ['36219']]]",ㄖㄣˇ ㄊㄨㄥˋ,rěntòng,"to suffer, fig. reluctantly"
7732,7733,人頭,精熟,第6級,,9,1,"[['人頭', ['36078']]]",ㄖㄣˊ ㄊㄡˊ,réntóu,"person, number of people, (per) capita, (a person's) head, (Tw) person whose identity is used by sb else (e.g. to create a bogus account)"
7733,7734,人為,精熟,第6級,,12,34,"[['人為', ['36187']]]",ㄖㄣˊ ㄨㄟˊ,rénwéi,"artificial, man-made, having human cause or origin, human attempt or effort"
7734,7735,人文,精熟,第6級,,25,92,"[['人文', ['36189']]]",ㄖㄣˊ ㄨㄣˊ,rénwén,"humanities, human affairs, culture"
7735,7736,忍無可忍,精熟,第6級,,4,1,"[['忍無可忍', ['36230']]]",ㄖㄣˇ ㄨˊ ㄎㄜˇ ㄖㄣˇ,rěnwúkěrěn,"more than one can bear (idiom), at the end of one's patience, the last straw"
7736,7737,忍心,精熟,第6級,,9,10,"[['忍心', ['36223']]]",ㄖㄣˇ ㄒㄧㄣ,rěnxīn,"to have the heart to do sth, to steel oneself to a task"
7737,7738,任性,精熟,第6級,,9,3,"[['任性', ['36273']]]",ㄖㄣˋ ㄒㄧㄥˋ,rènxìng,"willful, headstrong, unruly"
7738,7739,韌性,精熟,第6級,,5,7,"[['韌性', ['36240']]]",ㄖㄣˋ ㄒㄧㄥˋ,rènxìng,toughness
7739,7740,仁義,精熟,第6級,,8,3,"[['仁義', ['36216']]]",ㄖㄣˊ ㄧˋ,rényì,"benevolence and righteousness, affable and even-tempered"
7740,7741,任意,精熟,第6級,,14,1,"[['任意', ['36278']]]",ㄖㄣˋ ㄧˋ,rènyì,"any, arbitrary, at will, at random"
7741,7742,人影,精熟,第6級,,13,1,"[['人影', ['36183']]]",ㄖㄣˊ ㄧㄥˇ,rényǐng,"the shadow of a human figure, a trace of a person's presence (usu. combined with a negative verb)"
7742,7743,任用,精熟,第6級,,9,1,"[['任用', ['36281']]]",ㄖㄣˋ ㄩㄥˋ,rènyòng,"to appoint, to assign"
7743,7744,任由,精熟,第6級,,9,3,"[['任由', ['36279']]]",ㄖㄣˋ ㄧㄡˊ,rènyóu,"to let (sb do sth), to allow, regardless of"
7744,7745,人造,精熟,第6級,,10,18,"[['人造', ['36169']]]",ㄖㄣˊ ㄗㄠˋ,rénzào,"man-made, artificial, synthetic"
7745,7746,人質,精熟,第6級,,10,4,"[['人質', ['36138']]]",ㄖㄣˊ ㄓˋ,rénzhì,hostage
7746,7747,任職,精熟,第6級,,16,7,"[['任職', ['36274']]]",ㄖㄣˋ ㄓˊ,rènzhí,"to hold a post, to take office"
7747,7748,認知,精熟,第6級,,104,26,"[['認知', ['36252']]]",ㄖㄣˋ ㄓ,rènzhī,"cognition, cognitive, understanding, perception, awareness, to be cognizant of, to recognize, to realize"
7748,7749,日漸,精熟,第6級,,15,8,[],ㄖˋ ㄐㄧㄢˋ,rìjiàn,"to progress (or increase, change etc) day by day, more (or better etc) with each passing day"
7749,7750,日趨,精熟,第6級,,6,2,[],ㄖˋ ㄑㄩ,rìqū,"(increasing) day by day, (more critical) with every passing day, gradually"
7750,7751,冗長,精熟,第6級,,6,2,"[['冗長', ['36621']]]",ㄖㄨㄥˇ ㄔㄤˊ,rǒngcháng,"long and tedious, redundant, superfluous, supernumerary, verbose (of writing)"
7751,7752,容貌,精熟,第6級,,9,2,"[['容貌', ['36556']]]",ㄖㄨㄥˊ ㄇㄠˋ,róngmào,"one's appearance, one's aspect, looks, features"
7752,7753,容納,精熟,第6級,,10,11,"[['容納', ['36557']]]",ㄖㄨㄥˊ ㄋㄚˋ,róngnà,"to hold, to contain, to accommodate, to tolerate (different opinions)"
7753,7754,容器,精熟,第6級,,8,13,"[['容器', ['36563']]]",ㄖㄨㄥˊ ㄑㄧˋ,róngqì,"receptacle, vessel, (computing) container"
7754,7755,融洽,精熟,第6級,,8,6,"[['融洽', ['36616']]]",ㄖㄨㄥˊ ㄑㄧㄚˋ,róngqià,"harmonious, friendly relations, on good terms with one another"
7755,7756,容忍,精熟,第6級,,18,3,"[['容忍', ['36568']]]",ㄖㄨㄥˊ ㄖㄣˇ,róngrěn,"to put up with, to tolerate"
7756,7757,榮幸,精熟,第6級,,7,15,"[['榮幸', ['36600']]]",ㄖㄨㄥˊ ㄒㄧㄥˋ,róngxìng,honored (to have the privilege of ...)
7757,7758,容許,精熟,第6級,,16,4,"[['容許', ['36565']]]",ㄖㄨㄥˊ ㄒㄩˇ,róngxǔ,"to permit, to allow"
7758,7759,榮耀,精熟,第6級,,15,8,"[['榮耀', ['36603']]]",ㄖㄨㄥˊ ㄧㄠˋ,róngyào,"honor, glory"
7759,7760,榮譽,精熟,第6級,,16,8,"[['榮譽', ['36604']]]",ㄖㄨㄥˊ ㄩˋ,róngyù,"honor, credit, glory, (honorable) reputation, honorary"
7760,7761,柔和,精熟,第6級,,12,3,"[['柔和', ['35995']]]",ㄖㄡˊ ㄏㄜˊ,róuhé,"gentle, soft"
7761,7762,入超,精熟,第6級,,1,0,"[['入超', ['36443']]]",ㄖㄨˋ ㄔㄠ,rùchāo,"trade deficit, import surplus"
7762,7763,入關,精熟,第6級,,14,0,[],ㄖㄨˋ ㄍㄨㄢ,rùguān,"to enter a pass, to go through customs"
7763,7764,儒家,精熟,第6級,,29,4,"[['儒家', ['36375']]]",ㄖㄨˊ ㄐㄧㄚ,rújiā,"Confucian school, founded by Confucius 孔子[Kong3 zi3] (551-479 BC) and Mencius 孟子[Meng4 zi3] (c. 372-c. 289 BC)"
7764,7765,入門,精熟,第6級,,7,7,"[['入門', ['36415']]]",ㄖㄨˋ ㄇㄣˊ,rùmén,"entrance door, to enter a door, introduction (to a subject), to learn the basics of a subject"
7765,7766,如期,精熟,第6級,,4,5,"[['如期', ['36339']]]",ㄖㄨˊ ㄑㄧˊ,rúqí,"as scheduled, on time, punctual"
7766,7767,入侵,精熟,第6級,,17,28,"[['入侵', ['36437']]]",ㄖㄨˋ ㄑㄧㄣ,rùqīn,to invade
7767,7768,入睡,精熟,第6級,,18,3,"[['入睡', ['36453']]]",ㄖㄨˋ ㄕㄨㄟˋ,rùshuì,to fall asleep
7768,7769,入圍,精熟,第6級,,2,2,"[['入圍', ['36459']]]",ㄖㄨˋ ㄨㄟˊ,rùwéi,"to get past the qualifying round, to make it to the finals"
7769,7770,入獄,精熟,第6級,,9,3,"[['入獄', ['36461']]]",ㄖㄨˋ ㄩˋ,rùyù,"to go to jail, to be sent to prison"
7770,7771,如願,精熟,第6級,,5,3,"[['如願', ['36366']]]",ㄖㄨˊ ㄩㄢˋ,rúyuàn,to have one's wishes fulfilled
7771,7772,瑞典,精熟,第6級,,10,30,[],ㄖㄨㄟˋ ㄉㄧㄢˇ,ruìdiǎn,Sweden
7772,7773,銳利,精熟,第6級,,9,2,"[['銳利', ['36509']]]",ㄖㄨㄟˋ ㄌㄧˋ,ruìlì,"sharp, keen, acute, incisive, penetrating, perceptive"
7773,7774,若非,精熟,第6級,,7,2,[],ㄖㄨㄛˋ ㄈㄟ,ruòfēi,"were it not for, if not for"
7774,7775,若干,精熟,第6級,,25,3,"[['若干', ['36471']]]",ㄖㄨㄛˋ ㄍㄢ,ruògān,"a certain number or amount, how many?, how much?"
7775,7776,弱勢,精熟,第6級,,13,39,"[['弱勢', ['36489']]]",ㄖㄨㄛˋ ㄕˋ,ruòshì,"vulnerable, weak"
7776,7777,若無其事,精熟,第6級,,5,0,"[['若無其事', ['36479']]]",ㄖㄨㄛˋ ㄨˊ ㄑㄧˊ ㄕˋ,ruòwúqíshì,"as if nothing had happened (idiom), calmly, nonchalantly"
7777,7778,若有所思,精熟,第6級,,9,0,"[['若有所思', ['36475']]]",ㄖㄨㄛˋ ㄧㄡˇ ㄙㄨㄛˇ ㄙ,ruòyǒusuǒsī,"looking pensive, thoughtfully"
7778,7779,撒,精熟,第6級,,23,22,"[['撒', ['38715', '38728']]]",ㄙㄚˇ,sǎ,"to scatter, to sprinkle, to spill"
7779,7780,灑,精熟,第6級,,16,50,"[['灑', ['38731']]]",ㄙㄚˇ,sǎ,"to sprinkle, to spray, to spill, to shed"
7780,7781,撒,精熟,第6級,,23,22,"[['撒', ['38715', '38728']]]",ㄙㄚ,sā,"to let go, to cast, to let loose, to discharge, to give expression to, (coll.) to pee"
7781,7782,撒謊,精熟,第6級,,8,1,"[['撒謊', ['38720']]]",ㄙㄚ ㄏㄨㄤˇ,sāhuǎng,to tell lies
7782,7783,散,精熟,第6級,,29,20,"[['散', ['38924', '38935']]]",ㄙㄢˇ,sǎn,"scattered, loose, to come loose, to fall apart, leisurely, powdered medicine"
7783,7784,散播,精熟,第6級,,6,12,"[['散播', ['38936']]]",ㄙㄢˋ ㄅㄛˋ,sànbò,"to spread, to disperse, to disseminate"
7784,7785,散布/散佈,精熟,第6級,,12,8,"[['散布', ['38937']]]",ㄙㄢˋ ㄅㄨˋ,sànbù,to disseminate
7785,7786,三更半夜,精熟,第6級,,3,4,"[['三更半夜', ['38889']]]",ㄙㄢ ㄍㄥ ㄅㄢˋ ㄧㄝˋ,sāngēngbànyè,"in the depth of the night, very late at night"
7786,7787,散落,精熟,第6級,,7,4,"[['散落', ['38941']]]",ㄙㄢˋ ㄌㄨㄛˋ,sànluò,"to disperse, to fall scattered, to sprinkle"
7787,7788,散文,精熟,第6級,,11,4,"[['散文', ['38930']]]",ㄙㄢˇ ㄨㄣˊ,sǎnwén,"prose, essay"
7788,7789,三言兩語,精熟,第6級,,3,1,"[['三言兩語', ['38916']]]",ㄙㄢ ㄧㄢˊ ㄌㄧㄤˇ ㄩˇ,sānyánliǎngyǔ,"in a few words (idiom), expressed succinctly"
7789,7790,喪禮,精熟,第6級,,6,1,"[['喪禮', ['38964']]]",ㄙㄤ ㄌㄧˇ,sānglǐ,funeral
7790,7791,嗓門,精熟,第6級,,8,1,"[['嗓門', ['38970']]]",ㄙㄤˇ ㄇㄣˊ,sǎngmén,"voice, windpipe"
7791,7792,喪生,精熟,第6級,,5,12,"[['喪生', ['38986']]]",ㄙㄤˋ ㄕㄥ,sàngshēng,"to die, to lose one's life"
7792,7793,喪失,精熟,第6級,,32,14,"[['喪失', ['38984']]]",ㄙㄤˋ ㄕ,sàngshī,"to lose, to forfeit"
7793,7794,喪事,精熟,第6級,,5,2,"[['喪事', ['38967']]]",ㄙㄤ ㄕˋ,sāngshì,funeral arrangements
7794,7795,嗓音,精熟,第6級,,9,2,"[['嗓音', ['38972']]]",ㄙㄤˇ ㄧㄣ,sǎngyīn,voice
7795,7796,嗓子,精熟,第6級,,10,3,"[['嗓子', ['38971']]]",ㄙㄤˇ ˙ㄗ,sǎngzi,"throat, voice, CL:把[ba3]"
7796,7797,騷動,精熟,第6級,,13,1,"[['騷動', ['38792']]]",ㄙㄠ ㄉㄨㄥˋ,sāodòng,"disturbance, uproar, CL:陣|阵[zhen4], to become restless"
7797,7798,掃描,精熟,第6級,,15,13,"[['掃描', ['38800']]]",ㄙㄠˇ ㄇㄧㄠˊ,sǎomiáo,to scan
7798,7799,騷擾,精熟,第6級,,8,1,"[['騷擾', ['38794']]]",ㄙㄠ ㄖㄠˇ,sāorǎo,"to disturb, to cause a commotion, to harass"
7799,7800,啥,精熟,第6級,,67,7,"[['啥', ['33869']]]",ㄕㄚˊ,shá,"dialectal equivalent of 什麼|什么[shen2 me5], also pr. [sha4]"
7800,7801,煞車,精熟,第6級,,8,9,"[['煞車', ['33867']]]",ㄕㄚ ㄔㄜ,shāchē,to brake (when driving)
7801,7802,殺手,精熟,第6級,,13,10,"[['殺手', ['33848']]]",ㄕㄚ ㄕㄡˇ,shāshǒu,"killer, murderer, hit man, (sports) formidable player"
7802,7803,傻笑,精熟,第6級,,3,1,[],ㄕㄚˇ ㄒㄧㄠˋ,shǎxiào,"to giggle, to laugh foolishly, to smirk, to simper"
7803,7804,沙啞,精熟,第6級,,5,2,"[['沙啞', ['33806']]]",ㄕㄚ ㄧㄚˇ,shāyǎ,"hoarse, rough"
7804,7805,篩選,精熟,第6級,,8,11,"[['篩選', ['34010']]]",ㄕㄞ ㄒㄩㄢˇ,shāixuǎn,to filter
7805,7806,擅長,精熟,第6級,,29,10,"[['擅長', ['34555']]]",ㄕㄢˋ ㄔㄤˊ,shàncháng,"to be good at, to be expert in"
7806,7807,刪除,精熟,第6級,,7,3,"[['刪除', ['34465']]]",ㄕㄢ ㄔㄨˊ,shānchú,"to delete, to cancel"
7807,7808,閃電,精熟,第6級,,14,8,"[['閃電', ['34487']]]",ㄕㄢˇ ㄉㄧㄢˋ,shǎndiàn,"lightning, CL:道[dao4]"
7808,7809,山洞,精熟,第6級,,11,3,"[['山洞', ['34406']]]",ㄕㄢ ㄉㄨㄥˋ,shāndòng,"cavern, cave"
7809,7810,善惡,精熟,第6級,,6,2,[],ㄕㄢˋ ㄜˋ,shànè,"good and evil, good versus evil"
7810,7811,山峰,精熟,第6級,,9,3,"[['山峰', ['34400']]]",ㄕㄢ ㄈㄥ,shānfēng,(mountain) peak
7811,7812,閃光,精熟,第6級,,7,1,"[['閃光', ['34491']]]",ㄕㄢˇ ㄍㄨㄤ,shǎnguāng,flash
7812,7813,閃亮,精熟,第6級,,10,5,"[['閃亮', ['34490']]]",ㄕㄢˇ ㄌㄧㄤˋ,shǎnliàng,"brilliant, shiny, a flare, to glisten, to twinkle"
7813,7814,山林,精熟,第6級,,14,18,"[['山林', ['34411']]]",ㄕㄢ ㄌㄧㄣˊ,shānlín,"wooded mountain, mountain forest"
7814,7815,山脈,精熟,第6級,,13,32,"[['山脈', ['34396']]]",ㄕㄢ ㄇㄞˋ,shānmài,"mountain range, CL:條|条[tiao2]"
7815,7816,山丘,精熟,第6級,,10,5,"[['山丘', ['34428']]]",ㄕㄢ ㄑㄧㄡ,shānqiū,hill
7816,7817,閃閃,精熟,第6級,,16,4,"[['閃閃', ['34495']]]",ㄕㄢˇ ㄕㄢˇ,shǎnshǎn,"flickering, sparkling, glistening, glittering"
7817,7818,閃閃發光,精熟,第6級,,7,1,"[['閃閃發光', ['34496']]]",ㄕㄢˇ ㄕㄢˇ ㄈㄚ ㄍㄨㄤ,shǎnshǎnfāguāng,to light brightly; describes a prosperous career. 
7818,7819,山水,精熟,第6級,,7,8,"[['山水', ['34440']]]",ㄕㄢ ㄕㄨㄟˇ,shānshuǐ,"water from a mountain, mountains and rivers, scenery, landscape"
7819,7820,閃爍,精熟,第6級,,16,4,"[['閃爍', ['34499']]]",ㄕㄢˇ ㄕㄨㄛˋ,shǎnshuò,"flickering, twinkling, evasive, vague (of speech)"
7820,7821,山頭,精熟,第6級,,11,10,"[['山頭', ['34407']]]",ㄕㄢ ㄊㄡˊ,shāntóu,mountain top
7821,7822,山羊,精熟,第6級,,10,3,"[['山羊', ['34452']]]",ㄕㄢ ㄧㄤˊ,shānyáng,"goat, (gymnastics) small-sized vaulting horse"
7822,7823,閃耀,精熟,第6級,,8,5,"[['閃耀', ['34500']]]",ㄕㄢˇ ㄧㄠˋ,shǎnyào,"to glint, to glitter, to sparkle, to radiate"
7823,7824,善意,精熟,第6級,,15,12,"[['善意', ['34532']]]",ㄕㄢˋ ㄧˋ,shànyì,"goodwill, benevolence, kindness"
7824,7825,善於,精熟,第6級,,25,3,[],ㄕㄢˋ ㄩˊ,shànyú,"to be good at, to be adept at"
7825,7826,山莊,精熟,第6級,,8,4,"[['山莊', ['34434']]]",ㄕㄢ ㄓㄨㄤ,shānzhuāng,"manor house, villa, (used in hotel names)"
7826,7827,擅自,精熟,第6級,,7,2,"[['擅自', ['34556']]]",ㄕㄢˋ ㄗˋ,shànzì,without permission
7827,7828,尚,精熟,第6級,,87,14,"[['尚', ['34972']]]",ㄕㄤˋ,shàng,"still, yet, to value, to esteem"
7828,7829,商標,精熟,第6級,,7,3,"[['商標', ['34796']]]",ㄕㄤ ㄅㄧㄠ,shāngbiāo,"trademark, logo"
7829,7830,商場,精熟,第6級,,12,6,"[['商場', ['34816']]]",ㄕㄤ ㄔㄤˊ,shāngcháng,"shopping mall, shopping center, department store, emporium, CL:家[jia1], the business world"
7830,7831,傷感,精熟,第6級,,6,1,"[['傷感', ['34837']]]",ㄕㄤ ㄍㄢˇ,shānggǎn,"sad, emotional, sentimental, pathos"
7831,7832,上好,精熟,第6級,,5,4,"[['上好', ['34909']]]",ㄕㄤˋ ㄏㄠˇ,shànghǎo,"first-rate, top-notch"
7832,7833,上級,精熟,第6級,,10,0,"[['上級', ['34910']]]",ㄕㄤˋ ㄐㄧˊ,shàngjí,"higher authorities, superiors, CL:個|个[ge4]"
7833,7834,商機,精熟,第6級,,9,14,[],ㄕㄤ ㄐㄧ,shāngjī,"business opportunity, commercial opportunity"
7834,7835,商家,精熟,第6級,,7,6,"[['商家', ['34813']]]",ㄕㄤ ㄐㄧㄚ,shāngjiā,"merchant, business, enterprise"
7835,7836,上進,精熟,第6級,,7,4,"[['上進', ['34912']]]",ㄕㄤˋ ㄐㄧㄣˋ,shàngjìn,"to make progress, to do better, fig. ambitious to improve oneself, to move forwards"
7836,7837,上空,精熟,第6級,,11,9,"[['上空', ['34907']]]",ㄕㄤˋ ㄎㄨㄥ,shàngkōng,"overhead, in the sky"
7837,7838,上流,精熟,第6級,,8,1,"[['上流', ['34896']]]",ㄕㄤˋ ㄌㄧㄡˊ,shàngliú,upper class
7838,7839,上路,精熟,第6級,,13,9,"[['上路', ['34898']]]",ㄕㄤˋ ㄌㄨˋ,shànglù,"to start on a journey, to be on one's way"
7839,7840,上門,精熟,第6級,,13,3,"[['上門', ['34880']]]",ㄕㄤˋ ㄇㄣˊ,shàngmén,"to drop in, to visit, to lock a door, (of a shop) to close, to go and live with one's wife's family, in effect becoming a member of her family"
7840,7841,上任,精熟,第6級,,11,21,"[['上任', ['34945']]]",ㄕㄤˋ ㄖㄣˋ,shàngrèn,"to take office, previous (incumbent), predecessor"
7841,7842,上上下下,精熟,第6級,,4,2,"[['上上下下', ['34942']]]",ㄕㄤˋ ㄕㄤˋ ㄒㄧㄚˋ ㄒㄧㄚˋ,shàngshàngxiàxià,everyone in the group from top to bottom; from head to foot
7842,7843,賞識,精熟,第6級,,8,3,"[['賞識', ['34865']]]",ㄕㄤˇ ㄕˋ,shǎngshì,"to appreciate, to recognize the worth of sth, appreciation"
7843,7844,傷勢,精熟,第6級,,5,2,"[['傷勢', ['34847']]]",ㄕㄤ ㄕˋ,shāngshì,condition of an injury
7844,7845,上訴,精熟,第6級,,7,1,"[['上訴', ['34954']]]",ㄕㄤˋ ㄙㄨˋ,shàngsù,"to appeal (a judicial case), appeal"
7845,7846,上天,精熟,第6級,,20,14,"[['上天', ['34891']]]",ㄕㄤˋ ㄊㄧㄢ,shàngtiān,"Heaven, Providence, God, the sky above, to fly skywards, (euphemism) to die, to pass away, the previous day (or days)"
7846,7847,傷痛,精熟,第6級,,14,15,"[['傷痛', ['34835']]]",ㄕㄤ ㄊㄨㄥˋ,shāngtòng,"pain (from wound), sorrow"
7847,7848,傷亡,精熟,第6級,,7,22,"[['傷亡', ['34852']]]",ㄕㄤ ㄨㄤˊ,shāngwáng,"casualties, injuries and deaths"
7848,7849,商務,精熟,第6級,,15,3,"[['商務', ['34823']]]",ㄕㄤ ㄨˋ,shāngwù,"commercial affairs, commercial, commerce, business"
7849,7850,上揚,精熟,第6級,,5,3,"[['上揚', ['34965']]]",ㄕㄤˋ ㄧㄤˊ,shàngyáng,(of prices etc) to rise
7850,7851,商議,精熟,第6級,,15,1,"[['商議', ['34820']]]",ㄕㄤ ㄧˋ,shāngyì,"to negotiate, discussion, proposal"
7851,7852,上映,精熟,第6級,,3,1,"[['上映', ['34966']]]",ㄕㄤˋ ㄧㄥˋ,shàngyìng,"to screen, to show (a movie)"
7852,7853,上游,精熟,第6級,,11,32,"[['上游', ['34959']]]",ㄕㄤˋ ㄧㄡˊ,shàngyóu,"upper reaches (of a river), upper level, upper echelon, upstream"
7853,7854,少許,精熟,第6級,,8,4,"[['少許', ['34060']]]",ㄕㄠˇ ㄒㄩˇ,shǎoxǔ,"a little, a few"
7854,7855,少爺,精熟,第6級,,9,1,"[['少爺', ['34076']]]",ㄕㄠˋ ㄧㄝˊ,shàoyé,"son of the boss, young master of the house, your son (honorific)"
7855,7856,奢侈,精熟,第6級,,9,5,"[['奢侈', ['33892']]]",ㄕㄜ ㄔˇ,shēchǐ,"luxurious, extravagant"
7856,7857,奢華,精熟,第6級,,7,4,"[['奢華', ['33890']]]",ㄕㄜ ㄏㄨㄚˊ,shēhuá,"luxurious, sumptuous, lavish"
7857,7858,射擊,精熟,第6級,,9,4,"[['射擊', ['33969']]]",ㄕㄜˋ ㄐㄧˊ,shèjí,"to shoot, to fire (a gun)"
7858,7859,涉及,精熟,第6級,,27,5,"[['涉及', ['33962']]]",ㄕㄜˋ ㄐㄧˊ,shèjí,"to involve, to touch upon (a topic)"
7859,7860,捨棄,精熟,第6級,,9,5,"[['捨棄', ['33927']]]",ㄕㄜˇ ㄑㄧˋ,shěqì,"to give up, to abandon, to abort"
7860,7861,攝取,精熟,第6級,,14,28,"[['攝取', ['34000']]]",ㄕㄜˋ ㄑㄩˇ,shèqǔ,"to absorb (nutrients etc), to assimilate, intake, to take a photograph of (a scene)"
7861,7862,涉入,精熟,第6級,,6,2,[],ㄕㄜˋ ㄖㄨˋ,shèrù,to wade into; involvement
7862,7863,設施,精熟,第6級,,17,42,"[['設施', ['33990']]]",ㄕㄜˋ ㄕ,shèshī,"facilities, installation"
7863,7864,設想,精熟,第6級,,13,4,"[['設想', ['33987']]]",ㄕㄜˋ ㄒㄧㄤˇ,shèxiǎng,"to imagine, to assume, to envisage, tentative plan, to have consideration for"
7864,7865,設置,精熟,第6級,,23,18,"[['設置', ['33988']]]",ㄕㄜˋ ㄓˋ,shèzhì,"to set up, to install"
7865,7866,甚,精熟,第6級,,78,10,"[['甚', ['34680', '34770']]]",ㄕㄣˊ / ㄕㄣˋ,shén/shèn,"ten (used in fractions, writing checks etc), assorted, miscellaneous"
7866,7867,審查,精熟,第6級,,14,5,"[['審查', ['34758']]]",ㄕㄣˇ ㄔㄚˊ,shěnchá,"to examine, to investigate, to censor out, censorship"
7867,7868,深沉,精熟,第6級,,11,1,"[['深沉', ['34655']]]",ㄕㄣ ㄔㄣˊ,shēnchén,"deep, profound, (of a person) reserved, undemonstrative, (of a voice, sound etc) deep, low-pitched"
7868,7869,身處,精熟,第6級,,15,7,[],ㄕㄣ ㄔㄨˇ,shēnchǔ,"in (some place), to be in (adversity, a difficult situation, danger, turmoil etc), to find oneself in, placed in, surrounded by"
