Column1,序號,詞語,等別,級別,情境,書面字頻(每百萬字),口語字頻(每百萬字),簡編本系統號,參考注音,參考漢語拼音,warning,definition
13722,13723,意氣,精熟,第7級,,3,1,"[['意氣', ['40674']]]",ㄧˋ ㄑㄧˋ,yìqì,FALSE,state of mind; kindness and friendship
13737,13738,一聲令下,精熟,第7級,,2,2,"[['一聲令下', ['40191']]]",ㄧˋ ㄕㄥ ㄌㄧㄥˋ ㄒㄧㄚˋ,yìshēnglìngxià,FALSE,to give order
13753,13754,藝文,精熟,第7級,,5,4,"[['藝文', ['40741']]]",ㄧˋ ㄨㄣˊ,yìwén,FALSE,generally refers to art and literature
13767,13768,依樣,精熟,第7級,,3,1,[],ㄧ ㄧㄤˋ,yīyàng,FALSE,as before 
13773,13774,一隅,精熟,第7級,,4,1,"[['一隅', ['40237']]]",ㄧˋ ㄩˊ,yìyú,FALSE,a corner
13776,13777,一朝,精熟,第7級,,3,2,"[['一朝', ['40158']]]",ㄧˋ ㄓㄠ,yìzhāo,FALSE,suddenly one day
13793,13794,引介,精熟,第7級,,3,2,"[['引介', ['42116']]]",ㄧㄣˇ ㄐㄧㄝˋ,yǐnjiè,FALSE,to introduce
13830,13831,迎向,精熟,第7級,,4,4,"[['迎向', ['42458']]]",ㄧㄥˊ ㄒㄧㄤˋ,yíngxiàng,FALSE,to step forward and welcome
13833,13834,影藝,精熟,第7級,,6,0,[],ㄧㄥˇ ㄧˋ,yǐngyì,FALSE,film and arts
13838,13839,硬仗,精熟,第7級,,3,1,"[['硬仗', ['42566']]]",ㄧㄥˋ ㄓㄤˋ,yìngzhàng,FALSE,a tough war
13842,13843,擁立,精熟,第7級,,4,0,[],ㄩㄥˇ ㄌㄧˋ,yǒnglì,FALSE,to support and establish
13851,13852,有礙,精熟,第7級,,3,1,[],ㄧㄡˇ ㄞˋ,yǒuài,FALSE,impaired
13853,13854,右臂,精熟,第7級,,3,0,[],ㄧㄡˋ ㄅㄧˋ,yòubì,FALSE,the right arm; used to represent the key part of things
13862,13863,有鑑於此,精熟,第7級,,2,0,"[['有鑑於此', ['41454']]]",ㄧㄡˇ ㄐㄧㄢˋ ㄩˊ ㄘˇ,yǒujiànyúcǐ,FALSE,to be aware and alert to this matter
13874,13875,有生之年,精熟,第7級,,4,3,"[['有生之年', ['41489']]]",ㄧㄡˇ ㄕㄥ ㄓ ㄋㄧㄢˊ,yǒushēngzhīnián,FALSE,the rest of one's life
13888,13889,悠遊,精熟,第7級,,2,5,"[['悠遊', ['45359']]]",ㄧㄡ ㄧㄡˊ,yōuyóu,FALSE,to find amusement in one's own way
13923,13924,鬱鬱,精熟,第7級,,5,2,"[['鬱鬱', ['44562']]]",ㄩˋ ㄩˋ,yùyù,FALSE,sullen
13928,13929,遠播,精熟,第7級,,3,1,"[['遠播', ['44862']]]",ㄩㄢˇ ㄅㄛˋ,yuǎnbò,FALSE,to spread everywhere
13955,13956,源源,精熟,第7級,,3,2,[],ㄩㄢˊ ㄩㄢˊ,yuányuán,FALSE,continuous flow
13988,13989,讚譽,精熟,第7級,,4,1,"[['讚譽', ['37282']]]",ㄗㄢˋ ㄩˋ,zànyù,FALSE,to praise
14002,14003,造影,精熟,第7級,,9,0,[],ㄗㄠˋㄧㄥˇ,zàoyǐng,FALSE,to perform X-ray
14021,14022,宅邸,精熟,第7級,,13,1,[],ㄓㄞˊ ㄉㄧˇ,zháidǐ,FALSE,mansion
14028,14029,戰果,精熟,第7級,,4,0,"[['戰果', ['29895']]]",ㄓㄢˋ ㄍㄨㄛˇ,zhànguǒ,FALSE,results of the battle
14050,14051,章法,精熟,第7級,,4,1,"[['章法', ['30114']]]",ㄓㄤ ㄈㄚˇ,zhāngfǎ,FALSE,"organizational layout of the article, method of arranging the text on the seal, steps and rules for doing things"
14065,14066,召來,精熟,第7級,,3,0,[],ㄓㄠˋ ㄌㄞˊ,zhàolái,FALSE,to ask someone to come to help in a difficult situation
14104,14105,震天,精熟,第7級,,3,1,[],ㄓㄣˋ ㄊㄧㄢ,zhèntiān,FALSE,describes a sound that is so powerful that it can shake the sky
14107,14108,真義,精熟,第7級,,3,0,"[['真義', ['29998']]]",ㄓㄣ ㄧˋ,zhēnyì,FALSE,true meaning
14134,14135,正題,精熟,第7級,,3,0,[],ㄓㄥˋ ㄊㄧˊ,zhèngtí,FALSE,"theme, main content"
14136,14137,正途,精熟,第7級,,3,1,"[['正途', ['30364']]]",ㄓㄥˋ ㄊㄨˊ,zhèngtú,FALSE,right way
14163,14164,智慧型,精熟,第7級,,7,7,[],ㄓˋ ㄏㄨㄟˋ ㄒㄧㄥˊ,zhìhuìxíng,FALSE,"smart (phone, building, gadget, etc.)"
14182,14183,志士,精熟,第7級,,4,1,"[['志士', ['29305']]]",ㄓˋ ㄕˋ,zhìshì,FALSE,people with ideals and ambitions
14186,14187,直挺挺,精熟,第7級,,3,1,"[['直挺挺', ['28996']]]",ㄓˊ ㄊㄧㄥˇ ㄊㄧㄥˇ,zhítǐngtǐng,FALSE,describes a stiff body
14193,14194,執行不力,精熟,第7級,,0,0,[],ㄓˊ ㄒㄧㄥˊㄅㄨˊ ㄌㄧˋ,zhíxíngbúlì,FALSE,poor execution
14196,14197,志業,精熟,第7級,,4,22,"[['志業', ['29307']]]",ㄓˋ ㄧㄝˋ,zhìyè,FALSE,"to focus on one's career, ambition"
14205,14206,直指,精熟,第7級,,4,1,[],ㄓˊ ㄓˇ,zhízhǐ,FALSE,"to state it directly, without any hint of concealment."
14209,14210,隻字片語,精熟,第7級,,0,0,"[['隻字片語', ['28979']]]",ㄓ ㄗˋ ㄆㄧㄢˋ ㄩˇ,zhīzìpiànyǔ,FALSE,very brief speech or writing.
14215,14216,終歸,精熟,第7級,,2,1,"[['終歸', ['31235']]]",ㄓㄨㄥ ㄍㄨㄟ,zhōngguī,FALSE,"in the end, after all"
14225,14226,終其一生,精熟,第7級,,6,3,[],ㄓㄨㄥ ㄑㄧˊ ㄧˋ ㄕㄥ,zhōngqíyìshēng,FALSE,to spend his whole life doing something or accomplishing a goal
14229,14230,眾所皆知,精熟,第7級,,2,2,[],ㄓㄨㄥˋ ㄙㄨㄛˇ ㄐㄧㄝ ㄓ,zhòngsuǒjiēzhī,FALSE,well known
14241,14242,終至,精熟,第7級,,3,1,[],ㄓㄨㄥ ㄓˋ,zhōngzhì,FALSE,to the point that
14261,14262,註明,精熟,第7級,,5,1,"[['註明', ['30708']]]",ㄓㄨˋ ㄇㄧㄥˊ,zhùmíng,FALSE,to document clearly
14270,14271,主政,精熟,第7級,,4,2,[],ㄓㄨˇ ㄓㄥˋ,zhǔzhèng,FALSE,to lead a government
14275,14276,專精,精熟,第7級,,5,3,"[['專精', ['30917']]]",ㄓㄨㄢ ㄐㄧㄥ,zhuānjīng,FALSE,"concentrate and stay focused, good at"
14286,14287,專文,精熟,第7級,,3,0,[],ㄓㄨㄢ ㄨㄣˊ,zhuānwén,FALSE,an article written specifically on a certain issue
14303,14304,追根究柢,精熟,第7級,,5,1,"[['追根究柢', ['30852']]]",ㄓㄨㄟ ㄍㄣ ㄐㄧㄡˋ ㄉㄧˇ,zhuīgēnjiùdǐ,FALSE,to investigate and explore the root of things
14321,14322,逐字,精熟,第7級,,2,1,[],ㄓㄨˊㄗˋ,zhúzì,FALSE,word by word 
14336,14337,自憐,精熟,第7級,,4,0,"[['自憐', ['36808']]]",ㄗˋ ㄌㄧㄢˊ,zìlián,FALSE,self-pity
14351,14352,自許,精熟,第7級,,2,2,"[['自許', ['36849']]]",ㄗˋ ㄒㄩˇ,zìxǔ,FALSE,"self-expectation, self-confidence"
14354,14355,自已,精熟,第7級,,5,2,[],ㄗˋ ㄧˇ,zìyǐ,FALSE,to restrain oneself
14374,14375,走下坡,精熟,第7級,,4,2,"[['走下坡', ['37231']]]",ㄗㄡˇ ㄒㄧㄚˋ ㄆㄛ,zǒuxiàpō,FALSE,a metaphor for things going from bad to worse
14377,14378,奏章,精熟,第7級,,8,0,[],ㄗㄡˋ ㄓㄤ,zòuzhāng,FALSE,(In ancient times) officials reported to the king
14413,14414,坐視,精熟,第7級,,3,1,"[['坐視', ['37476']]]",ㄗㄨㄛˋ ㄕˋ,zuòshì,FALSE,"to just watch and ignore, to sit back and watch"
14414,14415,作詩,精熟,第7級,,4,0,[],ㄗㄨㄛˋ ㄕ,zuòshī,FALSE,to compose and write poetry
